1_F_COD_P,1_F_COD_M,ID_MUNICIPIO,ID_UNGS,ID_UTPMP,1_FECHAC,1_ENC_CARGA,1_ENC_REPP,2_PARTIDO,2_LOC,2_NBARRIO_OF,2_NBARRIO_A1,2_NBARRIO_A2,2_AÑO,2_SUP_HA,2_CANT_FLIA,2_TIPO_BARRIO,2_OBS_DUDOSOS,2_TIPO_DUD,2_JUD,2_DIREC,2_REF_BARRIO,UI1,UI1_NUM_PROV,UI1_NUM_DEF,UI1_NEXP,4_E_LIBRE,4_EQUIP_US-H,4_EQUIP_JI,4_EQUIP_EP,4_EQUIP_ES,4_EQUIP_COM,4_EQUIP_ZOOM,4_EQUIP_O,4_TP_COLE,4_TP_FFCC,4_TP_REM-COM,4_ISU_EEMI,4_ISU_EEMC,4_ISU_APUB,4_ISU_AC,4_ISU_AP,4_ISU_RC,4_ISU_EXC,4_ISU_GAS,4_ISU_PAV,4_ISU_CC,4_ISU_PLUV,4_ISU_RR,4_ORG_PART,4_CONT_REF_N,4_CONT_REF_T,4_SAMB_SPROB,4_SAMB_RE,4_SAMB_INUN,4_SAMB_TFERROV,4_SAMB_CSIR,4_SAMB_CIND,4_SAMB_SD,4_SITU_AMB_O,UI3_INF_URB,UI3_INF_URB_FECHA,UI3_CENSO,UI3_CENSO_FECHA,5_PROC_REG,5_ENC_LEG_D2225/95,5_ENC_LEG_D4686/96,5_ENC_LEG_D815/89,5_ENC_LEG_L243374,5_ENC_LEG_L23073,5_ENC_LEG_EXP,5_ENC_LEG_EXP_NUM,5_ENC_LEG_O,5_AI,5_AIPUB_IVIV,5_AIPUB_INF,5_AIPUB_EQUIP,5_ANT_IPUB_O,5_ORG_INAC,5_ORG_INAPROV,5_ORG_INAMUN,5_ORG_IPROG,5_ORG_IFECHA,UI4_PLANO,UI4_PFECHA,UI4_CIRC10,UI4_GEO_PART,UI4_GEO_NUM,UI4_GEO_AÑO,UI4_REG_LEG,UI4_REG_FOLIO,UI4_REG_FECHA,UI4_EPR,UI4_REG_14449,E_REV,Recorridos de la subsecretaría (fecha),OBSERVACIONES,ID_FOLIO,ESTADO
136,11,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,El Espejo,,,1980,"0,11",7,Otro,Barrio,"Menor a la unidad minima (10 habitantes, 0,25 hectareas)",Sin dato,"Cesario B. Quiros, Gral. Espejo, Cnel. Pedro Aquino, Gral. Villegas",sin dato,No corresponde inscripción,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,Cobertura total,inexistente,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,Cobertura parcial,Cobertura total,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,no reune condiciones de inscripción,,Vivienda=Flia/ Agua - Motor,1360011,No corresponde inscripcion
136,12,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Suenos del Pilar,El Pilar,,1988,"0,37",29,Otro,Villa/Asentamiento,Asentamiento consolidado,Sin dato,"Santos Dumont, La Piedad, Corro, Antofagasta",sin dato,Inscripción provisoria,,,,No,Distante > 1 km,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Próximo al barrio,Distante > 1 km,Sin dato,inexistente,Cobertura parcial,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura total,,,,Si,No,No,No,No,No,No,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - T. Comunitario,1360012,Notificacion
136,13,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Fortin El Gallo,,,1987,5,14,Otro,Asentamiento Precario,Asentamiento consolidado,Sin dato,"San Isidro, Cnel. Pringles, Ecuador, Manuel Acevedo",sin dato,Inscripción provisoria,,,,Si,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Dentro del barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura total,,,,Si,No,No,No,No,No,No,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,,1360013,Notificacion
136,14,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Evita,,,1985,"0,8",29,Otro,Villa,Asentamiento consolidado,Sin dato,"Ombu, Int. Perez Quintana, Andalgala",sin dato,No corresponde inscripción,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,Cobertura total,inexistente,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,No,Si,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,PROMEBA,,,,,,,,,,,,,no reune condiciones de inscripción,,Vivienda=Flia / Agua - T. Comunitario / hay equipamiento no se identifica que es,1360014,No corresponde inscripcion
136,15,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Hugo del Carril,San Alberto,,1985,"0,19",7,Otro,Asentamiento Precario,"Menor a la unidad minima (10 habitantes, 0,25 hectareas)",Sin dato,"Av. Rivadavia, Parral, Caaguazu, Cuyo",sin dato,No corresponde inscripción,,,,Si,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Dentro del barrio,Próximo al barrio,Sin dato,Cobertura total,inexistente,Cobertura total,inexistente,Cobertura total,Sin dato,Sin dato,inexistente,inexistente,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Si,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,no reune condiciones de inscripción,,Vivienda=Flia / Agua -Motor,1360015,No corresponde inscripcion
136,16,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,La Esperanza,,,1985,"7,94",242,Asentamiento precario,,,Sin dato,"Cnel. Pringles, Cte. Peredo, Portugal, Republica de El Salvador",sin dato,Inscripción provisoria,,,,No,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Próximo al barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,inexistente,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,,,,Si,No,No,No,No,No,No,,,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - T. Comunitario / hay equipamiento no se identifica que es-frente a Penal- presencia de basurales,1360016,Notificacion
136,17,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,La Esquina,,,1986,"0,07",5,Otro,,"Menor a la unidad minima (10 habitantes, 0,25 hectareas)",Sin dato,"Eduardo Muñiz, San Jose, Soriano",sin dato,No corresponde inscripción,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,Cobertura total,inexistente,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,Cobertura parcial,Cobertura total,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,no reune condiciones de inscripción,,Vivienda=Flia / Agua - Motor,1360017,No corresponde inscripcion
136,18,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,La Tradicion,,,1980,"0,11",6,Otro,Villa,"Menor a la unidad minima (10 habitantes, 0,25 hectareas)",Sin dato,"de La Tradicion, Gauchos de Guemes, La Pialada, El Cojinillo",sin dato,No corresponde inscripción,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,Cobertura total,inexistente,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,no reune condiciones de inscripción,,Vivienda=Flia / Agua - Motor,1360018,No corresponde inscripcion
136,19,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,La Union,Villa Angelica,,1990,"0,37",10,Otro,Villa,Asentamiento consolidado,Sin dato,"A. Gob. G. Udaondo, Ollantay, El Tirador, Patricias Mendocinas",sin dato,Inscripción provisoria,,,,No,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Dentro del barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura total,inexistente,Cobertura total,inexistente,Sin dato,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura total,,,,Si,No,No,No,No,No,No,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - T. Comunitario,1360019,Notificacion
136,20,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,El Culto,,,1990,"1,51",16,Asentamiento precario,,,Sin dato,"Aguaribay, Grecia, Prof. Carlos Bagnat, Gral. Rivela",sin dato,Inscripción provisoria,,,,Si,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Próximo al barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,"No existe actualmente una asociación formalmente constituida, pero sí una Comisión Barrial y una Delegada",,,No,No,SI,No,No,No,No,,Si,00/05/2014,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Si,13024,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - Motor,1360020,Notificacion
136,21,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Malvinas Argentinas,,,1988,"1,79",46,Otro,,Informalidad dispersa,Sin dato,"Chazarreta, Los Ranquetes, Federico Garcia Loraca, Los ",sin dato,Inscripción provisoria,,,,No,Distante > 1 km,Distante > 1 km,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Dentro del barrio,Distante > 1 km,Sin dato,Cobertura parcial,Sin dato,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,inexistente,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura total,,,,Si,No,No,No,No,No,No,,Si,00/05/2014,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Si,13025,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - Motor,1360021,Notificacion
136,22,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,El Martillazo I,,,1980,"0,72",21,Asentamiento precario,,,Sin dato,"Aguas Buenas, Cte. Peredo, Lisandro de La Torre, Coronel Videla",sin dato,Inscripción provisoria,,,,Si,Próximo al barrio,Próximo al barrio,Dentro del barrio,Próximo al barrio,Sin dato,Sin dato,,Próximo al barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,,,,Si,No,No,No,No,No,No,,,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Si,agregar,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - T. Comunatario,1360022,Notificacion
136,23,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,El Martillazo II,,,1988,"1,56",16,Otro,Asentamiento Precario,Informalidad dispersa,Sin dato,"Aguas Buenas, Cte. Peredo, Los Materos, Int. Perez Quintana",sin dato,Inscripción provisoria,,,,Si,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Próximo al barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,inexistente,inexistente,Cobertura parcial,Cobertura parcial,Cobertura parcial,,,,Si,No,No,No,No,No,No,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia/ Agua - Motor,1360023,Notificacion
136,24,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Nuevo Alberto,,,1988,"6,54",148,Asentamiento precario,,,Sin dato,"Almagro, Portugal, Cnel. Pringles, Cte. Peredo",sin dato,Inscripción provisoria,,,,No,Dentro del barrio,Dentro del barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Próximo al barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,inexistente,Cobertura parcial,Cobertura parcial,Cobertura parcial,Cobertura parcial,,,,Si,No,No,No,No,No,No,,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia / Agua - T Comunitario / hay equipamiento no se identifica que es,1360024,Notificacion
136,25,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Pacheco,,,1980,"0,11",4,Otro,Asentamiento Precario,"Menor a la unidad minima (10 habitantes, 0,25 hectareas)",Sin dato,"Cuyo, Cnel. Rafael Hortiguera, Henri Dunant, Gral. Pacheco",sin dato,No corresponde inscripción,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,Cobertura total,inexistente,Sin dato,inexistente,Cobertura total,Sin dato,Sin dato,Cobertura parcial,inexistente,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,no reune condiciones de inscripción,,Vivienda=Flia / Agua - Motor,1360025,No corresponde inscripcion
136,26,,,,41883,UNGS-SSTUV,sin dato,Ituzaingo,,Pachamama,,,1994,"2,67",73,Asentamiento precario,,,Sin dato,"Tabare, Santos Vega, Horacio Quiroga, Miguel Caminos",sin dato,Inscripción provisoria,,,,Si,Próximo al barrio,Próximo al barrio,Próximo al barrio,Próximo al barrio,Sin dato,Sin dato,,Dentro del barrio,Distante > 1 km,Sin dato,Cobertura total,inexistente,Cobertura parcial,inexistente,Cobertura total,inexistente,Sin dato,Cobertura parcial,Cobertura parcial,inexistente,inexistente,Cobertura total,,,,Si,No,No,No,No,No,No,,,,,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,Sin dato,Sin dato,Sin dato,,Sin dato,Sin dato,Sin dato,,,,,,,,,,,,,,a foliar,,Vivienda=Flia/ Agua - T. Comunitario,1360026,Notificacion
